Configuration	STM32Cube_pin_assignment_
STM32CubeMX 	4.23.0
Date	11/22/2017
MCU	STM32H743ZITx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC2	IN5 Single-ended	ADC2_INP5	PB1
ETH	RMII	ETH_CRS_DV	PA7
ETH	RMII	ETH_MDC	PC1
ETH	RMII	ETH_MDIO	PA2
ETH	RMII	ETH_REF_CLK	PA1
ETH	RMII	ETH_RXD0	PC4
ETH	RMII	ETH_RXD1	PC5
ETH	RMII	ETH_TXD0	PB12
ETH	RMII	ETH_TXD1	PB13
ETH	RMII	ETH_TX_EN	PB11
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_BK1_IO0	PD11
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_BK1_IO1	PD12
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_BK1_IO2	PE2
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_BK1_IO3	PD13
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_BK1_NCS	PB10
QUADSPI	Bank1 with Quad SPI Lines	QUADSPI_CLK	PB2
SDMMC1	SD 4 bits Wide bus	SDMMC1_CK	PC12
SDMMC1	SD 4 bits Wide bus	SDMMC1_CMD	PD2
SDMMC1	SD 4 bits Wide bus	SDMMC1_D0	PC8
SDMMC1	SD 4 bits Wide bus	SDMMC1_D1	PC9
SDMMC1	SD 4 bits Wide bus	SDMMC1_D2	PC10
SDMMC1	SD 4 bits Wide bus	SDMMC1_D3	PC11
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PD7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SPI1	Hardware NSS Output Signal	SPI1_NSS	PA15
SPI2	Full-Duplex Master	SPI2_MISO	PC2_C
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PD3
SPI2	Hardware NSS Output Signal	SPI2_NSS	PB4
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM1	Internal Clock	TIM1_VS_ClockSourceINT	VP_TIM1_VS_ClockSourceINT
TIM1	PWM Generation CH1 CH1N	TIM1_CH1	PE9
TIM1	PWM Generation CH1 CH1N	TIM1_CH1N	PE8
TIM1	PWM Generation CH2 CH2N	TIM1_CH2	PE11
TIM1	PWM Generation CH2 CH2N	TIM1_CH2N	PE10
TIM1	Output Compare CH3 CH3N	TIM1_CH3	PE13
TIM1	Output Compare CH3 CH3N	TIM1_CH3N	PE12
USART6	Asynchronous	USART6_RX	PG9
USART6	Asynchronous	USART6_TX	PG14



Pin Nb	PINs	FUNCTIONs	LABELs
1	PE2	QUADSPI_BK1_IO2	
27	PC1	ETH_MDC	
28	PC2_C	SPI2_MISO	
35	PA1	ETH_REF_CLK	
36	PA2	ETH_MDIO	
41	PA5	SPI1_SCK	
42	PA6	SPI1_MISO	
43	PA7	ETH_CRS_DV	
44	PC4	ETH_RXD0	
45	PC5	ETH_RXD1	
47	PB1	ADC2_INP5	
48	PB2	QUADSPI_CLK	
59	PE8	TIM1_CH1N	
60	PE9	TIM1_CH1	
63	PE10	TIM1_CH2N	
64	PE11	TIM1_CH2	
65	PE12	TIM1_CH3N	
66	PE13	TIM1_CH3	
69	PB10	QUADSPI_BK1_NCS	
70	PB11	ETH_TX_EN	
73	PB12	ETH_TXD0	
74	PB13	ETH_TXD1	
76	PB15	SPI2_MOSI	
80	PD11	QUADSPI_BK1_IO0	
81	PD12	QUADSPI_BK1_IO1	
82	PD13	QUADSPI_BK1_IO3	
98	PC8	SDMMC1_D0	
99	PC9	SDMMC1_D1	
105	PA13	SYS_JTMS-SWDIO	
109	PA14	SYS_JTCK-SWCLK	
110	PA15	SPI1_NSS	
111	PC10	SDMMC1_D2	
112	PC11	SDMMC1_D3	
113	PC12	SDMMC1_CK	
116	PD2	SDMMC1_CMD	
117	PD3	SPI2_SCK	
123	PD7	SPI1_MOSI	
124	PG9	USART6_RX	
129	PG14	USART6_TX	
134	PB4	SPI2_NSS	
