Reference, Value, Footprint, Datasheet
"C44","10u, 10v","Capacitors_SMD:C_0805",""
"C27","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C7","22u, 16V","Capacitors_SMD:C_1210",""
"FI2","NFE61P","DriveParts:EMI_Filter_murata",""
"C63","47n","Capacitors_SMD:C_0603_HandSoldering",""
"R32","DNP","Resistors_SMD:R_0603_HandSoldering",""
"R36","DNP","Resistors_SMD:R_0603_HandSoldering",""
"C59","47n","Capacitors_SMD:C_0603_HandSoldering",""
"R38","0R","Resistors_SMD:R_0603_HandSoldering",""
"R37","DNP","Resistors_SMD:R_0603_HandSoldering",""
"R30","DNP","Resistors_SMD:R_0603_HandSoldering",""
"R29","DNP","Resistors_SMD:R_0603_HandSoldering",""
"C45","10u, 6.3v","Capacitors_SMD:C_0805",""
"D6","3.3V","Diodes_SMD:D_SOD-523",""
"C28","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C30","10n","Capacitors_SMD:C_0603_HandSoldering",""
"C29","1u","Capacitors_SMD:C_0603_HandSoldering",""
"L14","10uH","Inductors_NEOSID:Neosid_Inductor_SM-NE30_SMD1210",""
"L15","10uH","Inductors_NEOSID:Neosid_Inductor_SM-NE30_SMD1210",""
"C21","1n","Capacitors_SMD:C_0603_HandSoldering",""
"OPT11","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"C79","10u","Capacitors_SMD:C_0805",""
"C75","10u","Capacitors_SMD:C_0805",""
"L17","1uH","w_smd_inductors:inductor_smd_0603",""
"C80","100n","Capacitors_SMD:C_0603_HandSoldering",""
"I7","DS90LV027A","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C76","100n","Capacitors_SMD:C_0603_HandSoldering",""
"I1","DS90LV027A","SMD_Packages:SOIC-8-N",""
"C8","100n","Capacitors_SMD:C_0603_HandSoldering",""
"I3","DS90LV028A","SMD_Packages:SOIC-8-N",""
"R8","250","Resistors_SMD:R_0603_HandSoldering",""
"C35","100n","Capacitors_SMD:C_0603_HandSoldering",""
"CON1","SD_Card","Connectors:SD_Card_Receptacle",""
"I4","DS90LV028A","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"R19","240","Resistors_SMD:R_0603_HandSoldering",""
"R18","240","Resistors_SMD:R_0603_HandSoldering",""
"C56","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C37","10u","Capacitors_SMD:C_0805",""
"C32","10u","Capacitors_SMD:C_0805",""
"R5","4k7","Resistors_SMD:R_0603_HandSoldering",""
"L11","1uH","w_smd_inductors:inductor_smd_0603",""
"OPT7","AFBR-1634Z","DriveParts:HFBR-xx2xZ",""
"C41","100n","Capacitors_SMD:C_0603_HandSoldering",""
"R6","4k7","Resistors_SMD:R_0603_HandSoldering",""
"OPT10","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"R7","4k7","Resistors_SMD:R_0603_HandSoldering",""
"C38","10u","Capacitors_SMD:C_0805",""
"C33","10u","Capacitors_SMD:C_0805",""
"L12","1uH","w_smd_inductors:inductor_smd_0603",""
"OPT8","AFBR-1634Z","DriveParts:HFBR-xx2xZ",""
"C42","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C39","10u","Capacitors_SMD:C_0805",""
"C34","10u","Capacitors_SMD:C_0805",""
"L13","1uH","w_smd_inductors:inductor_smd_0603",""
"OPT9","AFBR-1634Z","DriveParts:HFBR-xx2xZ",""
"C43","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C36","10u","Capacitors_SMD:C_0805",""
"C31","10u","Capacitors_SMD:C_0805",""
"L10","1uH","w_smd_inductors:inductor_smd_0603",""
"C40","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C15","10u","Capacitors_SMD:C_0805",""
"C5","10u","Capacitors_SMD:C_0805",""
"R1","4k7","Resistors_SMD:R_0603_HandSoldering",""
"L6","1uH","w_smd_inductors:inductor_smd_0603",""
"OPT1","AFBR-1634Z","DriveParts:HFBR-xx2xZ",""
"C22","100n","Capacitors_SMD:C_0603_HandSoldering",""
"R2","4k7","Resistors_SMD:R_0603_HandSoldering",""
"OPT3","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"C16","10u","Capacitors_SMD:C_0805",""
"C6","10u","Capacitors_SMD:C_0805",""
"L7","1uH","w_smd_inductors:inductor_smd_0603",""
"OPT2","AFBR-1634Z","DriveParts:HFBR-xx2xZ",""
"C23","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C11","10u","Capacitors_SMD:C_0805",""
"C1","10u","Capacitors_SMD:C_0805",""
"L2","1uH","w_smd_inductors:inductor_smd_0603",""
"C17","100n","Capacitors_SMD:C_0603_HandSoldering",""
"OPT4","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"C12","10u","Capacitors_SMD:C_0805",""
"C2","10u","Capacitors_SMD:C_0805",""
"L3","1uH","w_smd_inductors:inductor_smd_0603",""
"C18","100n","Capacitors_SMD:C_0603_HandSoldering",""
"OPT5","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"C13","10u","Capacitors_SMD:C_0805",""
"C3","10u","Capacitors_SMD:C_0805",""
"L4","1uH","w_smd_inductors:inductor_smd_0603",""
"C19","100n","Capacitors_SMD:C_0603_HandSoldering",""
"OPT6","AFBR-26x","DriveParts:HFBR-xx2xZ",""
"C14","10u","Capacitors_SMD:C_0805",""
"C4","10u","Capacitors_SMD:C_0805",""
"L5","1uH","w_smd_inductors:inductor_smd_0603",""
"C20","100n","Capacitors_SMD:C_0603_HandSoldering",""
"R51","0","Resistors_SMD:R_0603_HandSoldering",""
"FB6","FILTER","w_smd_inductors:inductor_smd_0805",""
"FB7","FILTER","w_smd_inductors:inductor_smd_0805",""
"FB8","FILTER","w_smd_inductors:inductor_smd_0805",""
"FB9","FILTER","w_smd_inductors:inductor_smd_0805",""
"FB10","FILTER","w_smd_inductors:inductor_smd_0805",""
"FB11","FILTER","w_smd_inductors:inductor_smd_0805",""
"R24","47k","Resistors_SMD:R_0603_HandSoldering",""
"R25","47k","Resistors_SMD:R_0603_HandSoldering",""
"R26","47k","Resistors_SMD:R_0603_HandSoldering",""
"R27","47k","Resistors_SMD:R_0603_HandSoldering",""
"R28","47k","Resistors_SMD:R_0603_HandSoldering",""
"R31","47k","Resistors_SMD:R_0603_HandSoldering",""
"C73","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C74","10u","Capacitors_SMD:C_0805",""
"C71","100n","Capacitors_SMD:C_0603_HandSoldering",""
"U5","ISO7221","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C53","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C55","100n","Capacitors_SMD:C_0603_HandSoldering",""
