Qty,partname,description,lib
0,"Power_Management:MCP101-315D","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:ESD_Protection_SP0503BAHT-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_74LS136-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_AFBR-1634Z-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_AFBR-26x-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CD4044B-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CONN_01X02-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CONN_02X08-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CONN_02X10-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CONN_02X15-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_CONN_02X17-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_DS90LV027A-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_DS9637A-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_EMI_FILTER-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_FILTER-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_INDUCTOR_SMALL-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_LTV-356T-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_Led_Small-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:WolfDrive_H7Controller-rescue_ZENER-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:conn_SD_Card-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:device_C-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:device_Q_NMOS_DGS-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:device_R-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:interface_ADuM1201CR-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"WolfDrive_H7Controller-rescue:linear_LM339-RESCUE-WolfDrive_H7Controller","","WolfDrive_H7Controller-cache"
0,"conn:Conn_01x04","","WolfDrive_H7Controller-cache"
0,"conn:Conn_01x04_Female","","WolfDrive_H7Controller-cache"
0,"conn:DB15_Female_HighDensity_MountingHoles","","WolfDrive_H7Controller-cache"
0,"conn:TEST_1P","","WolfDrive_H7Controller-cache"
0,"conn:USB_OTG","","WolfDrive_H7Controller-cache"
0,"device:EMI_Filter_CommonMode","","WolfDrive_H7Controller-cache"
0,"device:Ferrite_Bead","","WolfDrive_H7Controller-cache"
0,"device:R_Small","","WolfDrive_H7Controller-cache"
0,"ftdi:FT232RL","","WolfDrive_H7Controller-cache"
0,"linear:OPA2340","","WolfDrive_H7Controller-cache"
0,"mechanical:Mounting_Hole","","WolfDrive_H7Controller-cache"
0,"mechanical:Mounting_Hole_PAD","","WolfDrive_H7Controller-cache"
0,"regul:LM1117-3.3","","WolfDrive_H7Controller-cache"
0,"regul:LM1117-5.0","","WolfDrive_H7Controller-cache"
